beta_0,beta_1,beta_2,beta_3,beta_4,beta_5,beta_6,beta_7,beta_8,beta_9
-0.011049518,0.008898477,-0.009231743,0.0039254352,-0.0028303408,-0.0022666166,-0.0012955945,0.0036491028,9.181595e-05,0.00069007184
-0.0053334627,0.010301682,-0.009455108,-0.018123113,-0.002600909,-0.003234081,-0.00087001454,0.0038720497,-0.00019831408,0.001217338
0.005143067,0.013610753,-0.0123806605,-0.009239506,-0.0034985102,-0.0043476336,-0.0010599117,0.004756516,-0.001225223,0.002183154
-0.0071362276,0.007781365,-0.014415347,-0.012739621,-0.0033983397,-0.00504487,-0.0014258547,0.0045330236,-0.0015071962,0.0024050937
0.00071567856,0.010575446,-0.014224899,-0.023565745,-0.0037629663,-0.0048413756,-0.00059129775,0.0043278295,-0.0018745043,0.0022607648
-0.004608365,0.014374294,-0.012127073,-0.028481005,-0.0037592475,-0.00475834,-0.00076808885,0.0042451527,-0.001589833,0.0017118191
-0.018754387,0.0023834324,0.00080607366,-0.015094174,-0.00048912596,-0.0015590361,-0.0005872715,0.0005549327,-0.00022355834,-0.00076690764
0.0025513303,0.00200924,0.003957388,-0.008253599,3.0455543e-05,-1.3375306e-05,-0.00010975893,-5.5162993e-05,0.0002043136,-0.0009351513
0.010302348,0.010410617,0.0025679683,-0.019405808,-0.0014657247,-0.0014798187,-2.979685e-05,0.0009352883,-0.00026906293,-0.00034382206
0.0053078663,0.009364189,-0.002486986,-0.01973055,-0.001713648,-0.001968055,-0.0004967578,0.001835855,-0.00037551904,-0.00013225281
0.022765202,0.0077845035,-0.0015232088,-0.007735152,-0.0013728384,-0.00019658101,3.9293547e-05,0.0014166681,-7.574051e-05,-9.348092e-05
0.0195223,0.0011483701,-0.00032832008,0.006368609,-0.0007661745,0.0014449925,-0.00012851611,0.00073642057,0.0008782415,-0.0005709999
0.03881886,0.024422146,-0.012825311,-0.020341573,-0.0059921057,-0.006023013,-0.0012195488,0.0050202347,-0.0022055684,0.0025843366
0.02221979,0.00984181,-0.0044620624,-0.0048456173,-0.0026992292,-0.00095515035,-0.00042312627,0.002243274,0.00022148725,-0.00020182226
0.025025724,0.015890677,-0.0063108085,-0.010416908,-0.0040512453,-0.0021992475,-0.00059524295,0.0031365126,-0.00020670623,-7.4132346e-05
-0.006940024,-0.0019814568,-0.0040244786,0.008823333,-0.0008638867,0.0003319882,-0.00097323314,0.0015511098,0.0012114138,-0.00048265117
-0.006808961,0.0015442325,-0.0020528352,0.004207736,-0.0012194029,-0.00029199838,-0.00080428534,0.0010103649,0.00091501104,-0.0004716313
-0.022493942,-0.009363311,-0.0020722514,0.015992485,0.00030183885,0.0016751358,-0.001009238,0.00026497903,0.0016778213,-0.000837805
-0.042593002,-0.0035862708,-0.008120135,-0.0025899224,-6.0894046e-05,-0.0015147299,-0.0013195546,0.0016133767,0.00036266784,0.00030507077
-0.06041283,-0.011154787,-0.00843252,0.0113808345,0.00023452706,-0.0007806801,-0.0013494615,0.0010823007,0.00059745123,-0.00058045995
-0.05559165,-0.009480645,-0.00651827,0.007999536,0.00022995811,-0.0008666786,-0.0013481954,0.0009368329,0.0005210237,-0.00065112155
-0.045230158,-0.009600184,-0.002523426,0.010695138,0.0014373257,-0.00011062308,-0.0012981978,8.961494e-05,0.00086201646,-0.0010839561
-0.050743207,-0.005067277,-0.0077449894,0.004306445,0.00031096675,-0.0015170556,-0.0014995249,0.0013847414,0.00035974145,-0.0005247974
-0.012622962,0.0007798327,-0.0053901197,0.0067371465,-0.0006764126,-0.0018340584,-0.0014812534,0.0015089207,-1.9239495e-05,0.0008377731
-0.0007369984,0.007193557,-0.008120998,0.008882606,-0.0024680106,-0.0024939578,-0.0013321287,0.0028578378,-0.00047062896,0.0013177851
0.009141443,0.02318548,-0.015905969,-0.02018175,-0.005469076,-0.0066239173,-0.0014105551,0.005811802,-0.0020957706,0.0029639017
0.015078565,0.0242274,-0.0134843,-0.012098746,-0.006197079,-0.0051005012,-0.00083496,0.0056020156,-0.0015367883,0.0021493845
-0.003594214,0.02524833,-0.015487307,-0.021379512,-0.005896063,-0.006920033,-0.0016564099,0.0061128903,-0.0018550461,0.0019507764
-0.004887784,0.010271897,-0.00754572,-0.003614368,-0.0029673432,-0.002907854,-0.0012738697,0.003563238,-0.00010769407,0.0007526891
-0.0013411809,0.015169273,-0.013386619,-0.016778583,-0.0040424005,-0.0053979973,-0.0010388254,0.0049711685,-0.0014790477,0.0022975719
-0.0048570205,0.009317243,-0.011821185,-0.019163124,-0.0024796755,-0.005181558,-0.0011910637,0.004016598,-0.0014973859,0.0023875425
-0.0008787904,0.013710515,-0.014441482,-0.036114506,-0.0044247354,-0.006769101,-0.0007409365,0.004531002,-0.0025665648,0.0028418356
-0.02119569,0.004658389,-0.013847676,-0.029895468,-0.0023519348,-0.0049256003,-0.0011700621,0.0034560985,-0.0017410571,0.0018600295
-0.014476666,-0.00093941484,-0.0045197187,-0.009336341,-0.00049955177,-0.0012369043,-0.0006471288,0.0012852179,-0.0002683635,1.4708843e-05
-0.021077858,0.003076979,-0.00017361995,-0.015796764,-0.00019216652,-0.0009815637,-0.0006736525,0.00060505996,7.980433e-05,-0.0007176941
-0.0036503319,0.011267851,-0.001108746,-0.024777753,-0.0018510879,-0.0022456937,-0.00037604535,0.0017300542,-0.0006450142,-9.664684e-06
0.023124626,0.0042007407,0.00037920382,0.0025936235,-0.0005627533,0.0015259084,5.9689395e-05,0.00064383546,0.00039812434,-0.0007364667
0.021531826,0.0032331971,-0.0028404826,0.0030163098,-0.00091508473,0.0011082251,-3.8260594e-05,0.0012196328,0.0004037962,-0.000303888
0.00959379,-0.0005212249,-0.007381146,0.009046709,-0.0012447815,0.001116295,-0.00020544184,0.0019512242,0.00043416012,-8.146046e-06
-0.00037056394,0.0047924677,-0.0036590034,-0.005011443,-0.0015394773,-0.00021755102,-0.00018670363,0.0016323347,0.00027563854,-0.0005067084
0.006537309,-0.0039221654,-0.00037002657,0.016811915,-0.00019212042,0.0023778807,-0.00045817753,0.00021254068,0.0014910541,-0.0015534668
0.028141445,0.007676135,-0.0056766113,-0.004485661,-0.0028970835,-0.0014894495,-0.0005981247,0.002358423,-0.00017151679,-0.00016128749
0.03314387,0.021163024,-0.0040177843,-0.028142663,-0.004343992,-0.0036045215,-0.00037008955,0.00345036,-0.00073694414,0.00055430597
-0.008597674,-0.0035202364,-0.001393157,0.011961434,-0.0015380392,0.0011089557,-0.000590408,0.00069233734,0.0014519322,-0.00079232745
-0.02927261,-0.0009926958,-0.003683417,-0.0031141825,-0.00035884045,-0.0008753842,-0.0010154519,0.0009849253,0.00089966704,-0.00028599333
-0.036469936,0.012303953,-0.010111808,-0.033897117,-0.0022029027,-0.005252533,-0.0006873038,0.0029578877,-0.0013617204,0.001573938
-0.017419511,0.0087627955,-0.0076194042,-0.02188563,-0.0012788238,-0.0038076374,-0.0010143834,0.002565536,-0.00068350276,0.001376543
-0.062192492,-0.008243258,-0.011617656,0.0009274399,-0.00030191953,-0.0021199095,-0.0014372622,0.0021122664,8.246629e-06,0.0004015303
-0.050954267,-0.0012008362,-0.007813982,-0.007969427,-0.0008624481,-0.0029070782,-0.0012821887,0.0019559707,-0.00016316772,4.1788793e-05
-0.021470802,0.016568128,-0.007461154,-0.035253957,-0.002286004,-0.0062528457,-0.001550667,0.0032949357,-0.0010551823,0.0016557381
-0.027261922,0.014048376,-0.0030392157,-0.030379185,-0.0011488616,-0.0042828484,-0.00088747754,0.0020047054,-0.00019154965,0.0004988164
0.00035716407,0.013604681,-0.013971412,-0.011461055,-0.0038771767,-0.004844932,-0.0015905688,0.004403384,-0.0011669537,0.0022252656
0.00834178,0.01739112,-0.016536627,-0.008930884,-0.0050954004,-0.005426523,-0.0015853269,0.005399626,-0.0014938671,0.0028494971
0.007577179,0.017569978,-0.01089107,-0.010400122,-0.004272972,-0.0046444973,-0.0013881242,0.0045184777,-0.0010422163,0.0018383488
-0.0054280926,0.014445824,-0.0110042775,-0.003441995,-0.0043835845,-0.0039930725,-0.0015743785,0.004482835,-0.0007294321,0.0010229428
-0.013427952,0.0017310483,-0.0064425105,0.008320212,-0.0019168549,-0.00039357587,-0.0007407018,0.0027036942,0.0005703253,0.00022821955
-0.00053451397,0.0070884684,-0.012041529,-0.008800814,-0.0026894785,-0.0029490273,-0.000736673,0.003834753,-0.0005393211,0.0016146507
-0.010370733,0.011640052,-0.019044645,-0.025193488,-0.0040587005,-0.007036152,-0.0014437871,0.0053910865,-0.0026842467,0.0035311205
0.00048158877,0.0085437475,-0.012003371,-0.023900395,-0.0032102698,-0.004993729,-0.0009886358,0.0035080023,-0.0018455669,0.0016682572
-0.0182023,-0.0036745397,-0.013654661,-0.014124826,-0.0015103823,-0.0031903256,-0.0010797265,0.0028451935,-0.0012119706,0.0017200268
-0.011153245,0.0076368162,-0.0024028113,-0.023931695,-0.0014243406,-0.0027006222,-0.00050120254,0.0014616225,-0.00080858835,4.320359e-05
-0.020603323,0.0074604796,-0.005053564,-0.029091725,-0.0016362094,-0.003131636,-0.0008878574,0.0019379109,-0.0008314381,0.00045834528
